"DateTime","SPM.Values"
0,151
8,266
16,221
72,179
80,196
88,209
144,156
152,223
160,141
192,186
200,250
208,282
264,193
272,408
280,355
384,213
392,311
400,232
456,117
464,246
472,183
528,223
536,414
544,372
648,100
656,123
664,112
720,222
728,524
736,281
768,396
776,275
784,267
840,89
848,159
856,171
984,168
992,246
1000,147
1080,182
1088,222
1096,120
1128,124
1136,97
1144,83
1200,82
1208,122
1216,123
1320,120
1328,115
1336,176
1392,180
1400,286
1408,264
1464,86
1472,106
1480,75
1536,127
1544,249
1552,114
1608,107
1616,205
1624,172
1752,68
1760,76
1768,37
1800,169
1808,164
1816,244
1848,191
1856,106
1864,37
1968,90
1976,124
1984,63
2088,140
2096,101
2104,119
2160,64
2168,83
2176,33
2232,115
2240,45
2248,21
2304,63
2312,80
2320,97
2352,169
2360,247
2368,136
2448,113
2456,131
2464,51
2520,120
2528,126
2536,83
2616,84
2624,118
2632,98
2712,145
2720,130
2728,63
2832,75
2840,94
2848,63
2904,153
2912,82
2920,57
3048,103
3056,173
3064,123
3096,139
3104,104
3112,54
3144,139
3152,116
3160,57
3240,69
3248,54
3256,47
3360,112
3368,61
3376,29
3408,73
3416,74
3424,28
3456,92
3464,69
3472,18
3576,124
3584,168
3592,38
3648,75
3656,75
3664,49
3720,83
3728,65
3736,62
3840,94
3848,86
3856,32
3936,141
3944,164
3952,39
4008,43
4016,53
4024,18
4056,59
4064,108
4072,30
4128,70
4136,38
4144,38
4200,23
4208,19
4216,19
4368,80
4376,68
4384,78
4440,70
4448,44
4456,26
4512,41
4520,63
4528,24
4584,31
4592,45
4600,11
4656,59
4664,61
4672,34
4728,66
4736,38
4744,30
4800,39
4808,43
4816,21
4896,17
4904,33
4912,15
5040,29
5048,24
5056,19
5112,38
5120,33
5128,22
5184,59
5192,85
5200,53
5256,65
5264,73
5272,85
5376,55
5384,69
5392,23
5424,74
5432,50
5440,38
5496,42
5504,48
5512,19
5568,105
5576,66
5584,35
5640,65
5648,96
5656,34
5784,45
5792,40
5800,11
5856,57
5864,49
5872,34
5928,44
5936,52
5944,40
6000,17
6008,19
6016,11
6072,72
6080,158
6088,148
6168,59
6176,99
6184,57
6216,84
6224,57
6232,25
6312,43
6320,112
6328,41
6360,78
6368,74
6376,66
6528,28
6536,42
6544,25
6576,86
6584,87
6592,64
6648,130
6656,161
6664,162
6768,110
6776,134
6784,107
6888,54
6896,20
6904,18
6960,15
6968,33
6976,12
7008,39
7016,54
7024,72
7056,78
7064,148
7072,177
7248,58
7256,220
7264,139
7296,86
7304,182
7312,138
7368,73
7376,229
7384,136
7440,133
7448,355
7456,289
7560,193
7568,432
7576,294
7608,165
7616,397
7624,278
7680,220
7688,344
7696,343
7752,327
7760,409
7768,243
7824,170
7832,354
7840,233
7968,138
7976,201
7984,225
8040,193
8048,318
8056,273
8112,197
8120,380
8128,283
8184,150
8192,170
8200,144
8280,158
8288,254
8296,210
8328,150
8336,355
8344,297
8400,139
8408,144
8416,94
8544,203
8552,541
8560,372
8592,253
8600,387
8608,523
8688,211
8696,509
8704,329
8760,189
8768,161
8776,118
8880,231
8888,519
8896,477
8976,351
8984,388
8992,386
9072,544
9080,406
9088,294
9144,131
9152,171
9160,96
9192,198
9200,319
9208,195
9288,159
9296,196
9304,137
9336,235
9344,435
9352,323
9432,302
9440,393
9448,352
9552,299
9560,378
9568,372
9624,297
9632,242
9640,241
9672,317
9680,530
9688,259
9744,263
9752,400
9760,301
9912,201
9920,185
9928,219
9984,234
9992,147
10000,125
10032,165
10040,337
10048,119
10080,113
10088,207
10096,165
10272,100
10280,189
10288,274
10320,73
10328,92
10336,66
10416,199
10424,167
10432,105
10464,271
10472,139
10480,146
10536,181
10544,225
10552,311
10632,202
10640,361
10648,308
10680,171
10688,279
10696,161
10728,155
10736,159
10744,197
10944,109
10952,227
10960,70
10992,74
11000,160
11008,74
11040,98
11048,83
11056,78
11088,163
11096,172
11104,86
11232,75
11240,75
11248,22
11304,60
11312,123
11320,70
11352,55
11360,65
11368,56
11424,171
11432,110
11440,71
11616,91
11624,85
11632,59
11664,71
11672,84
11680,80
11712,77
11720,83
11728,45
11808,68
11816,51
11824,36
11928,96
11936,132
11944,52
12000,106
12008,89
12016,78
12072,59
12080,67
12088,53
12120,88
12128,79
12136,120
12192,58
12200,44
12208,31
12312,76
12320,76
12328,28
12408,49
12416,56
12424,34
12504,87
12512,109
12520,59
12552,73
12560,78
12568,48
12648,81
12656,59
12664,32
12720,123
12728,74
12736,61
12792,44
12800,68
12808,59
12864,51
12872,34
12880,29
12936,53
12944,59
12952,62
13128,55
13136,45
13144,26
13176,89
13184,69
13192,15
13248,53
13256,52
13264,42
13296,58
13304,59
13312,34
13392,65
13400,67
13408,36
13488,34
13496,50
13504,52
13536,52
13544,40
13552,18
13608,65
13616,65
13624,55
13800,31
13808,26
13816,12
13848,41
13856,38
13864,23
13896,58
13904,52
13912,46
13968,47
13976,86
13984,68
14112,33
14120,25
14128,15
14160,52
14168,66
14176,34
14256,22
14264,27
14272,25
14328,37
14336,61
14344,39
14376,24
14384,55
14392,27
14520,33
14528,59
14536,42
14592,36
14600,48
14608,17
14664,60
14672,47
14680,22
14736,94
14744,70
14752,41
14808,53
14816,76
14824,55
14928,42
14936,56
14944,18
15000,34
15008,17
15016,15
15048,36
15056,34
15064,29
15120,28
15128,87
15136,47
15312,65
15320,93
15328,61
15360,86
15368,118
15376,189
15432,73
15440,118
15448,126
15504,90
15512,122
15520,105
15552,91
15560,129
15568,133
15624,107
15632,147
15640,132
15768,48
15776,62
15784,68
15840,43
15848,124
15856,130
15912,72
15920,105
15928,208
16032,60
16040,105
16048,112
16080,98
16088,237
16096,209
16152,127
16160,206
16168,157
16248,59
16256,215
16264,57
16344,108
16352,234
16360,249
16392,160
16400,201
16408,267
16464,114
16472,216
16480,264
16560,129
16568,204
16576,115
16608,126
16616,329
16624,215
16776,143
16784,309
16792,334
16824,210
16832,335
16840,310
16896,170
16904,317
16912,166
17016,151
17024,232
17032,222
17088,120
17096,208
17104,206
17208,99
17216,244
17224,145
17304,138
17312,153
17320,283
17352,141
17360,164
17368,169
17496,104
17504,214
17512,181
17544,133
17552,209
17560,203
17616,158
17624,217
17632,234
17688,153
17696,385
17704,210
17760,202
17768,444
17776,294
17832,251
17840,191
17848,195
17904,144
17912,378
17920,301
17976,202
17984,259
17992,220
18096,293
18104,505
18112,261
18216,216
18224,240
18232,200
18288,181
18296,249
18304,140
18360,111
18368,145
18376,204
18432,43
18440,90
18448,39
18504,108
18512,144
18520,59
18576,93
18584,188
18592,116
18648,79
18656,139
18664,163
18744,73
18752,57
18760,81
18840,53
18848,23
18856,48
18984,72
18992,164
19000,71
19056,85
19064,93
19072,73
19128,100
19136,66
19144,45
19200,45
19208,43
19216,108
19272,108
19280,135
19288,155
19344,55
19352,224
19360,108
19416,157
19424,151
19432,154
19464,95
19472,75
19480,176
19680,150
19688,202
19696,63
19728,135
19736,123
19744,65
19800,83
19808,126
19816,70
19872,64
19880,50
19888,43
19944,38
19952,50
19960,33
20016,80
20024,61
20032,27
20088,99
20096,121
20104,80
20160,102
20168,81
20176,90
20352,76
20360,64
20368,60
20400,77
20408,82
20416,47
20496,61
20504,94
20512,101
20568,65
20576,76
20584,57
20640,71
20648,85
20656,53
20712,116
20720,114
20728,98
20784,89
20792,71
20800,56
20856,73
20864,93
20872,96
20928,74
20936,62
20944,84
21072,89
21080,87
21088,38
21144,85
21152,88
21160,72
21216,87
21224,65
21232,33
21288,72
21296,130
21304,53
21360,45
21368,32
21376,20
21432,58
21440,43
21448,36
21552,41
21560,62
21568,18
21624,33
21632,38
21640,32
21672,40
21680,48
21688,29
21792,42
21800,49
21808,31
21840,37
21848,24
21856,41
21960,123
21968,41
21976,42
22080,66
22088,64
22096,25
22152,40
22160,68
22168,64
22224,48
22232,30
22240,96
22272,60
22280,38
22288,43
22368,43
22376,23
22384,18
22440,73
22448,52
22456,82
22584,57
22592,52
22600,36
22632,24
22640,26
22648,24
22728,56
22736,48
22744,34
22800,26
22808,31
22816,33
22920,27
22928,37
22936,30
22992,58
23000,83
23008,53
23040,41
23048,43
23056,22
23112,109
23120,69
23128,52
23184,47
23192,45
23200,44
23376,37
23384,49
23392,53
23424,42
23432,41
23440,43
23496,44
23504,94
23512,113
23568,39
23576,35
23584,40
23616,65
23624,40
23632,63
23736,30
23744,66
23752,32
23808,36
23816,32
23824,26
23856,35
23864,24
23872,37
24024,75
24032,63
24040,43
24072,191
24080,84
24088,97
24216,154
24224,230
24232,104
24264,147
24272,163
24280,96
24312,33
24320,95
24328,72
24360,50
24368,93
24376,40
24528,90
24536,150
24544,114
24576,85
24584,105
24592,182
24624,114
24632,112
24640,179
24672,92
24680,158
24688,171
24840,134
24848,310
24856,196
24888,149
24896,235
24904,141
25032,81
25040,123
25048,99
25080,76
25088,205
25096,57
25128,137
25136,147
25144,148
25272,96
25280,194
25288,165
25320,129
25328,291
25336,186
25368,160
25376,164
25384,195
25536,96
25544,216
25552,130
25584,205
25592,164
25600,134
25656,132
25664,345
25672,469
25776,175
25784,214
25792,225
25848,177
25856,253
25864,259
25896,146
25904,335
25912,364
25968,128
25976,333
25984,331
26064,252
26072,279
26080,243
26136,180
26144,335
26152,311
26280,315
26288,426
26296,553
26328,302
26336,530
26344,530
26424,239
26432,260
26440,241
26472,224
26480,365
26488,391
26520,218
26528,370
26536,388
26736,73
26744,164
26752,73
26784,137
26792,214
26800,193
26832,153
26840,291
26848,271
26880,160
26888,200
26896,219
27072,222
27080,224
27088,275
27120,148
27128,224
27136,185
27216,143
27224,216
27232,184
27264,163
27272,185
27280,262
27312,225
27320,372
27328,327
27360,178
27368,262
27376,187
27504,113
27512,141
27520,188
27552,155
27560,196
27568,179
27744,105
27752,111
27760,115
27792,163
27800,210
27808,251
27864,183
27872,230
27880,213
27936,180
27944,214
27952,245
27984,136
27992,203
28000,173
28056,121
28064,202
28072,130
28176,98
28184,127
28192,112
28296,122
28304,143
28312,122
28344,113
28352,136
28360,94
28464,78
28472,92
28480,106
28512,114
28520,150
28528,146
28560,138
28568,198
28576,164
28704,68
28712,75
28720,98
28752,75
28760,109
28768,77
28824,126
28832,124
28840,138
28944,83
28952,87
28960,68
29088,95
29096,62
29104,51
29136,96
29144,121
29152,82
29232,68
29240,81
29248,69
29280,50
29288,77
29296,59
29352,67
29360,107
29368,81
29400,87
29408,92
29416,81
29544,76
29552,82
29560,83
29592,71
29600,81
29608,121
29664,69
29672,80
29680,132
29712,72
29720,80
29728,89
29928,35
29936,33
29944,43
29976,68
29984,54
29992,53
30048,35
30056,48
30064,50
30120,77
30128,43
30136,44
30168,56
30176,45
30184,51
30312,47
30320,46
30328,60
30360,65
30368,60
30376,63
30408,40
30416,94
30424,66
30600,44
30608,58
30616,40
30648,54
30656,34
30664,41
30696,57
30704,52
30712,50
30744,50
30752,54
30760,60
30840,58
30848,41
30856,37
30888,36
30896,50
30904,47
31080,41
31088,46
31096,44
31128,44
31136,73
31144,67
31176,20
31184,25
31192,28
31224,39
31232,45
31240,36
31440,26
31448,56
31456,28
31488,26
31496,40
31504,24
31560,41
31568,76
31576,55
31608,35
31616,51
31624,21
31704,43
31712,64
31720,33
31800,40
31808,58
31816,65
31848,46
31856,50
31864,55
31920,45
31928,80
31936,77
32112,53
32120,81
32128,99
32160,68
32168,85
32176,71
32232,50
32240,58
32248,59
32280,37
32288,59
32296,55
32352,67
32360,56
32368,48
32424,26
32432,74
32440,33
32544,52
32552,66
32560,68
32640,54
32648,87
32656,92
32688,57
32696,45
32704,49
32808,59
32816,87
32824,81
32856,66
32864,99
32872,109
33000,67
33008,104
33016,123
33048,95
33056,158
33064,181
33120,88
33128,111
33136,128
33240,113
33248,230
33256,160
33312,88
33320,134
33328,167
33384,87
33392,155
33400,118
33432,106
33440,109
33448,171
33600,137
33608,208
33616,206
33672,101
33680,120
33688,134
33744,142
33752,179
33760,192
33816,160
33824,172
33832,189
33888,181
33896,221
33904,213
33984,198
33992,289
34000,264
34032,186
34040,241
34048,230
34128,172
34136,247
34144,225
34272,251
34280,320
34288,284
34320,254
34328,393
34336,404
34416,213
34424,334
34432,278
34512,240
34520,266
34528,296
34560,294
34568,335
34576,352
34632,181
34640,266
34648,250
34704,189
34712,219
34720,203
34776,200
34784,267
34792,254
34872,231
34880,322
34888,334
35016,224
35024,301
35032,278
35064,247
35072,287
35080,280
35136,206
35144,272
35152,259
35208,230
35216,274
35224,264
35304,217
35312,275
35320,249
35424,227
35432,265
35440,233
35496,257
35504,386
35512,358
35568,250
35576,322
35584,281
35616,243
35624,294
35632,265
35760,230
35768,336
35776,299
35856,262
35864,341
35872,310
35904,188
35912,267
35920,239
36000,243
36008,330
36016,286
36048,287
36056,318
36064,306
36144,184
36152,237
36160,205
36288,220
36296,291
36304,280
36336,247
36344,293
36352,273
36432,222
36440,274
36448,252
36528,235
36536,283
36544,253
36576,232
36584,284
36592,257
36672,208
36680,243
36688,224
36720,222
36728,288
36736,238
36792,239
36800,279
36808,265
36912,239
36920,285
36928,266
36984,209
36992,249
37000,233
37056,243
37064,285
37072,255
37176,186
37184,249
37192,221
37320,179
37328,216
37336,192
37368,224
37376,259
37384,248
37440,216
37448,270
37456,260
37584,247
37592,318
37600,300
37728,234
37736,316
37744,255
37800,123
37808,167
37816,170
37896,117
37904,109
37912,90
38016,74
38024,119
38032,225
38088,75
38096,97
38104,107
38160,87
38168,172
38176,187
38280,59
38288,97
38296,47
38376,62.23
38384,54.55
38392,45.61
38472,93.6
38480,123.38
38488,53.52
38544,83
38552,117
38560,101
38616,61
38624,105
38632,120
38712,51
38720,62
38728,100
38760,92
38768,122
38776,63
38832,53
38840,69
38848,35
38976,71
38984,84
38992,48
39024,105
39032,132
39040,66
39072,112
39080,89
39088,73
39144,65
39152,82
39160,47
39264,86
39272,53
39280,56
39384,74
39392,65
39400,27
39432,64
39440,50
39448,43
39504,50
39512,44
39520,21
39648,19
39656,23
39664,32
39720,32
39728,38
39736,45
39792,37
39800,83
39808,73
39864,48
39872,72
39880,54
39912,34
39920,45
39928,66
40008,58
40016,56
40024,61
40104,57
40112,41
40120,52
40200,62
40208,53
40216,34
40248,81
40256,122
40264,101
40320,45
40328,40
40336,25
40464,33
40472,29
40480,19
40560,70
40568,52
40576,31
40608,61
40616,47
40624,33
40680,43
40688,65
40696,41
40752,65
40760,54
40768,47
40896,27
40904,19
40912,14
40944,23
40952,32
40960,15
41016,59
41024,71
41032,42
41112,86
41120,108
41128,134
41208,95
41216,99
41224,50
41256,72
41264,91
41272,49
41304,113
41312,160
41320,96
41496,50
41504,51
41512,64
41568,77
41576,67
41584,47
41640,54
41648,50
41656,35
41712,89
41720,133
41728,117
41784,103
41792,153
41800,94
41856,114
41864,178
41872,164
42000,102
42008,115
42016,160
42048,149
42056,227
42064,194
42096,147
42104,209
42112,215
42192,136
42200,279
42208,241
42312,144
42320,275
42328,255
42384,115
42392,193
42400,185
42504,188
42512,253
42520,276
42576,139
42584,132
42592,139
42624,119
42632,83
42640,107
42696,105
42704,141
42712,128
42768,152
42776,199
42784,209
42816,191
42824,267
42832,221
42960,178
42968,211
42976,192
43080,226
43088,361
43096,435
43128,211
43136,360
43144,368
43200,251
43208,334
43216,329
43272,361
43280,363
43288,419
43320,275
43328,386
43336,501
43512,171
43520,200
43528,234
43560,147
43568,218
43576,257
43656,216
43664,293
43672,280
43728,186
43736,329
43744,241
43776,225
43784,287
43792,232
43896,192
43904,248
43912,321
43992,174
44000,289
44008,303
44040,309
44048,210
44056,206
44136,186
44144,218
44152,194
44256,231
44264,261
44272,302
44352,134
44360,290
44368,267
44424,159
44432,154
44440,292
44496,212
44504,232
44512,296
44544,149
44552,178
44560,210
44688,263
44696,302
44704,378
44736,119
44744,276
44752,169
44784,110
44792,124
44800,212
44928,168
44936,221
44944,306
44976,173
44984,334
44992,260
45024,219
45032,217
45040,206
45216,109
45224,181
45232,216
45264,162
45272,130
45280,124
45336,112
45344,129
45352,131
45384,180
45392,215
45400,251
45528,179
45536,146
45544,125
45576,178
45584,266
45592,300
45648,225
45656,187
45664,211
45744,139
45752,149
45760,102
45792,112
45800,159
45808,149
45912,172
45920,163
45928,232
46056,166
46064,159
46072,196
46104,210
46112,187
46120,241
46152,113
46160,112
46168,74
46272,104
46280,130
46288,79
46344,144
46352,162
46360,189
46416,112
46424,103
46432,57
46464,134
46472,142
46480,82
46536,78
46544,80
46552,72
46704,93
46712,81
46720,50
46752,65
46760,81
46768,126
46848,109
46856,98
46864,63
46896,86
46904,88
46912,74
46968,90
46976,102
46984,49
47088,65
47096,72
47104,57
47160,55
47168,47
47176,48
47280,73
47288,76
47296,59
47328,90
47336,92
47344,65
47376,64
47384,67
47392,45
47568,75
47576,62
47584,24
47616,42
47624,69
47632,46
47664,49
47672,44
47680,30
47760,46
47768,43
47776,46
47856,46
47864,35
47872,35
47928,35
47936,28
47944,36
47976,86
47984,31
47992,46
48072,80
48080,79
48088,66
48216,59
48224,42
48232,25
48264,51
48272,54
48280,40
48360,61
48368,59
48376,68
48408,40
48416,70
48424,38
48480,56
48488,62
48496,37
48624,86
48632,34
48640,19
48672,45
48680,53
48688,36
48768,82
48776,38
48784,32
48840,57
48848,40
48856,50
48936,37
48944,50
48952,39
48984,55
48992,72
49000,52
49104,40
49112,80
49120,50
49248,57
49256,37
49264,33
49296,47
49304,55
49312,30
49392,66
49400,77
49408,31
49464,33
49472,60
49480,42
49536,55
49544,45
49552,38
49632,46
49640,64
49648,43
49680,44
49688,55
49696,45
49776,64
49784,73
49792,48
49824,54
49832,66
49840,115
49968,38
49976,30
49984,16
50040,82
50048,89
50056,44
50088,61
50096,81
50104,81
50184,62
50192,114
50200,111
50232,85
50240,126
50248,109
50328,168
50336,127
50344,129
50448,41
50456,45
50464,47
50520,60
50528,63
50536,60
50568,90
50576,136
50584,108
50760,79
50768,60
50776,107
50808,62
50816,110
50824,86
50880,109
50888,214
50896,129
50952,112
50960,249
50968,274
51024,64
51032,54
51040,62
51120,106
51128,191
51136,223
51216,99
51224,161
51232,171
51264,156
51272,178
51280,230
51408,245
51416,240
51424,336
51480,102
51488,64
51496,107
51528,140
51536,275
51544,259
51624,144
51632,143
51640,176
51672,121
51680,213
51688,201
51744,126
51752,190
51760,154
51840,89
51848,170
51856,97
51936,106
51944,200
51952,224
52032,175
52040,283
52048,286
52152,180
52160,299
52168,321
52224,184
52232,267
52240,291
52296,299
52304,394
52312,494
52368,205
52376,363
52384,361
52416,187
52424,361
52432,439
52584,139
52592,180
52600,176
52632,172
52640,289
52648,235
52680,156
52688,192
52696,203
52728,202
52736,255
52744,260
52872,134
52880,262
52888,247
52944,161
52952,171
52960,211
53112,112
53120,146
53128,255
53160,247
53168,378
53176,339
53256,153
53264,265
53272,265
53304,173
53312,294
53320,303
53448,136
53456,122
53464,202
53496,172
53504,152
53512,184
53568,236
53576,205
53584,207
53616,139
53624,120
53632,131
53712,135
53720,126
53728,178
53808,110
53816,160
53824,191
53856,99
53864,106
53872,135
54000,154
54008,145
54016,139
54096,100
54104,117
54112,153
54144,97
54152,119
54160,78
54192,100
54200,172
54208,196
54288,145
54296,103
54304,68
54384,100
54392,135
54400,177
54480,140
54488,93
54496,84
54576,93
54584,96
54592,95
54624,72
54632,95
54640,141
54720,94
54728,65
54736,75
54792,100
54800,128
54808,99
54864,144
54872,140
54880,146
54912,140
54920,138
54928,93
55104,83
55112,80
55120,104
55152,87
55160,111
55168,96
55224,60
55232,71
55240,54
55344,63
55352,72
55360,49
55416,56
55424,68
55432,34
55464,55
55472,84
55480,100
55560,62
55568,72
55576,70
55608,89
55616,77
55624,97
55704,107
55712,70
55720,61
55848,66
55856,94
